標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
ProShares 二倍放空型MSCI歐澳遠東指數股票型基金,EFU~TFUPA001,美元,反向股票,2007/10/23,-,季配,2013/06/06,14.6776,-2.93,-17.45,-42.62,-69.26,,16.84,-0.79,-0.91,-,1百萬,,
歐澳遠東精選,EFA~TBUBC007,美元,股票型,2001/08/14,RR4,半年配,2026/08/04,10.3752,6.23,4.77,19.77,43.03,,8.73,0.64,0.47,-,"77,978百萬",,
歐澳遠東精選( 3 ),EFA~TCUBC007,美元,股票型,2001/08/14,RR4,半年配,2026/08/04,21.0711,6.17,4.66,19.53,42.18,,8.73,0.64,0.47,-,"77,978百萬",,
iShares MSCI 歐澳遠東指數股票型基金,EFA~TFUBC007,美元,股票型,2001/08/14,RR4,半年配,2026/08/04,107.32,6.57,5.44,21.33,48.73,,8.73,0.64,0.47,-,"77,978百萬",,
放空二倍-新興市場精選( 3 ),EEV~TCUPS010,美元,反向股票,2007/10/30,-,季配,2025/06/06,0.1241,-13.86,-19.03,-25.76,-37.22,,31.33,-0.64,-1.98,-,3百萬,,
ProShares 二倍放空型MSCI新興市場指數股票型基金,EEV~TFUPS010,美元,反向股票,2007/10/30,-,季配,2025/06/06,13.5583,-13.53,-18.42,-24.64,-34.33,,31.33,-0.64,-1.98,-,3百萬,,
新興亞洲指數精選( 3 ),EEMA~TCUBC068,美元,股票型,2012/02/08,RR5,半年配,2026/08/04,15.3408,3.43,14.05,34.46,61.7,,20.88,0.43,1.37,-,839百萬,,
iShares MSCI新興亞洲指數股票型基金,EEMA~TFUBC068,美元,股票型,2012/02/08,RR5,半年配,2026/08/04,114.43,3.82,14.9,36.49,69.15,,20.88,0.43,1.37,-,839百萬,,
新興市場精選,EEM~TBUBC017,美元,股票型,2003/04/07,RR5,半年配,2026/08/04,10.5332,2.63,11.53,33.78,56.57,,18.27,0.48,1.18,-,"29,159百萬",,
新興市場精選( 3 ),EEM~TCUBC017,美元,股票型,2003/04/07,RR5,半年配,2026/08/04,19.0541,2.58,11.42,33.51,55.64,,18.27,0.48,1.18,-,"29,159百萬",,
iShares MSCI 新興市場指數股票型基金,EEM~TFUBC017,美元,股票型,2003/04/07,RR5,半年配,2026/08/04,66,2.96,12.24,35.52,62.8,,18.27,0.48,1.18,-,"29,159百萬",,
智利股市精選,ECH~TBUBC057,美元,股票型,2007/11/12,RR5,半年配,2026/08/04,5.579,0.49,-12,32,30.59,,24.53,0.36,-,-,"1,020百萬",,
智利股市精選( 3 ),ECH~TCUBC057,美元,股票型,2007/11/12,RR5,半年配,2026/08/04,5.8047,0.44,-12.09,31.74,29.81,,24.53,0.36,-,-,"1,020百萬",,
iShares MSCI 智利指數股票型基金,ECH~TFUBC057,美元,股票型,2007/11/12,RR5,半年配,2026/08/04,40.44,0.82,-11.43,33.73,35.8,,24.53,0.36,-,-,"1,020百萬",,
日股匯率避險指數精選(3),DXJ~TCUWT080,美元,股票型,2006/06/16,RR4,季配,2026/08/04,15.4117,7.85,7.98,44.21,-,,12.1,0.87,0.22,-,"7,204百萬",,
WisdomTree日本股票匯率避險指數股票型基金,DXJ~TFUWT080,美元,股票型,2006/06/16,RR4,季配,2026/08/04,174.1,8.26,8.79,46.39,-,,12.1,0.87,0.22,-,"7,204百萬",,
放空二倍-道瓊工業精選( 3 ),DXD~TCUPS012,美元,反向股票,2006/07/11,-,季配,2025/06/06,0.0438,-5.14,3.29,-21.85,-46.62,,18.51,-0.61,-1.87,-,40百萬,,
ProShares 二倍放空型道瓊工業指數股票型基金,DXD~TFUPS012,美元,反向股票,2006/07/11,-,季配,2025/06/06,25.87,-4.78,4.06,-20.67,-44.16,,18.51,-0.61,-1.87,-,40百萬,,
美洲高股利精選,DVY~TBUBC016,美元,股票型,2003/11/03,RR4,季配,2026/08/04,21.2353,5.91,5.06,18.94,35.86,,10.19,0.54,1.18,-,"23,467百萬",,
美洲高股利精選( 3 ),DVY~TCUBC016,美元,股票型,2003/11/03,RR4,季配,2026/08/04,38.2348,5.86,4.96,18.7,35.05,,10.19,0.54,1.18,-,"23,467百萬",,
iShares 道瓊股息指數股票型基金,DVY~TFUBC016,美元,股票型,2003/11/03,RR4,季配,2026/08/04,163.2,6.26,5.74,20.5,41.27,,10.19,0.54,1.18,-,"23,467百萬",,
放空二倍-美洲原油天然氣產業精選( 3 ),DUG~TCUPS004,美元,反向商品,2007/01/30,-,季配,2013/06/06,1.2137,-8.88,-25.79,-43.45,-78.6,,41.05,-0.46,-2.05,-,21百萬,,
ProShares 二倍放空型道瓊美國石油與天然氣股指數股票型基金,DUG~TFUPS004,美元,反向商品,2007/01/30,-,季配,2013/06/06,15.97,-8.53,-25.23,-42.6,-77.61,,41.05,-0.46,-2.05,-,21百萬,,
二倍作多-美洲原油天然氣產業精選( 3 ),DIG~TCUPS007,美元,槓桿商品,2007/01/30,-,季配,2026/08/04,16.2708,-5.3,17.36,73.85,40.32,,45.48,0.41,2.27,-,83百萬,,
ProShare 二倍道瓊美國石油與天然氣指數股票型基金,DIG~TFUPS007,美元,槓桿商品,2007/01/30,-,季配,2026/08/04,58.94,-4.94,18.23,76.47,46.8,,45.48,0.41,2.27,-,83百萬,,
道瓊工業精選,DIA~TBUSS001,美元,股票型,1998/01/14,RR4,月配,2026/08/04,32.7434,10.03,8.53,20.74,48.22,,9.42,0.56,0.95,-,"45,208百萬",,
道瓊工業精選( 3 ),DIA~TCUSS001,美元,股票型,1998/01/14,RR4,月配,2026/08/04,53.1198,9.98,8.42,20.5,47.34,,9.42,0.56,0.95,-,"45,208百萬",,
道瓊工業指數股票型基金,DIA~TFUSS001,美元,股票型,1998/01/14,RR4,月配,2026/08/04,540.43,10.39,9.23,22.32,54.12,,9.42,0.56,0.95,-,"45,208百萬",,
環球藍籌股精選,DGT~TBUSS002,美元,股票型,2000/09/25,RR4,季配,2026/08/04,19.3454,6.84,7.94,25.23,61.23,,9.46,0.71,0.55,-,614百萬,,
環球藍籌股精選( 3 ),DGT~TCUSS002,美元,股票型,2000/09/25,RR4,季配,2026/08/04,35.0345,6.79,7.83,24.98,60.27,,9.46,0.71,0.55,-,614百萬,,
SPDR 道瓊全球泰坦指數股票型基金,DGT~TFUSS002,美元,股票型,2000/09/25,RR4,季配,2026/08/04,191.19,7.19,8.64,26.87,67.65,,9.46,0.71,0.55,-,614百萬,,
二倍作多-道瓊工業精選( 3 ),DDM~TCUPS015,美元,槓桿股票,2006/06/19,-,季配,2015/09/04,40.3721,-19.65,-21.44,-12.1,52.02,,18.97,0.53,1.92,-,515百萬,,
ProShares 二倍道瓊30指數股票型基金,DDM~TFUPS015,美元,槓桿股票,2006/06/19,-,季配,2015/09/04,55.17,-19.34,-60.42,-55.39,-20.49,,18.97,0.53,1.92,-,515百萬,,
能源商品指數精選( 3 ),DBE~TCUDB003,美元,能源,2007/01/05,-,年配,2020/07/15,4.2991,15.85,-32.1,-34.33,-20.84,,45.44,0.32,0.57,-,100百萬,,
PowerShares 德銀能源指數股票型基金,DBE~TFUDB003,美元,能源,2007/01/05,-,年配,2020/07/15,9.64,16.28,-31.58,-33.33,-17.18,,45.44,0.32,0.57,-,100百萬,,
德銀商品指數精選( 3 ),DBC~TCUDB002,美元,原物料,2006/02/03,-,年配,2020/07/15,5.536,11.14,-19.66,-21.02,-16.19,,21.9,0.36,0.29,-,1700百萬,,
PowerShares 德銀商品指數股票型基金,DBC~TFUDB002,美元,原物料,2006/02/03,-,年配,2020/07/15,12.74,11.56,-19.06,-19.82,-12.32,,21.9,0.36,0.29,-,1700百萬,,
基礎金屬商品精選( 3 ),DBB~TCUDB001,美元,工業金屬,2007/01/05,-,年配,2023/04/06,11.3144,-0.82,3.97,-25.43,53.58,,15.23,0.52,0.29,-,361百萬,,
PowerShares 德銀金屬指數股票型基金,DBB~TFUDB001,美元,工業金屬,2007/01/05,-,年配,2023/04/06,19.63,-0.46,4.75,-24.3,60.64,,15.23,0.52,0.29,-,361百萬,,
德銀農業商品指數精選( 3 ),DBA~TCUPS001,美元,農產品,2007/01/05,-,年配,2026/08/04,9.0144,-2.6,6.79,5.9,22.19,,10.88,0.2,0.88,-,1210百萬,,
PowerShares 德銀農業指數股票型基金,DBA~TFUPS001,美元,農產品,2007/01/05,-,年配,2026/08/04,27.66,-2.23,7.58,7.5,27.82,,10.88,0.2,0.88,-,1210百萬,,
美國可轉債精選,CWB~TBUSS009,美元,可轉換債券,2009/04/14,RR3,月配,2026/08/04,23.096,2.52,12.78,22.98,44.12,,14.31,0.42,-0.32,-,"5,576百萬",,
美國可轉債精選 ( 3 ),CWB~TCUSS009,美元,可轉換債券,2009/04/14,RR3,月配,2026/08/04,22.2194,2.47,12.67,22.73,43.26,,14.31,0.42,-0.32,-,"5,576百萬",,
SPDR 彭博巴克萊可轉債指數股票型基金,CWB~TFUSS009,美元,可轉換債券,2009/04/14,RR3,月配,2026/08/04,105.35,2.86,13.51,24.59,49.86,,14.31,0.42,-0.32,-,"5,576百萬",,
全球銅礦產業精選(3),COPX~TCUVG099,美元,工業金屬,2010/04/19,RR4,半年配,2026/08/04,10.8622,-,-,-,-,,44.64,0.49,1.4,-,"7,340百萬",,
Global X銅礦指數股票型基金,COPX~TFUVG099,美元,工業金屬,2010/04/19,RR4,半年配,2026/08/04,83.99,-,-,-,-,,44.64,0.49,1.4,-,"7,340百萬",,
法國藍籌股精選,CAC@FP.WS~TBELX001,歐元,股票型,2019/09/05,RR4,年配,2026/08/04,12.3841,9.76,6.63,12.01,13.77,,27.95,-0.15,1.09,-,"4,466百萬",,
法國藍籌股精選( 3 ),CAC@FP.WS~TCELX001,歐元,股票型,2019/09/05,RR4,年配,2026/08/04,22.4794,9.7,6.52,11.79,13.09,,27.95,-0.15,1.09,-,"4,466百萬",,
Lyxor 法國CAC 40 指數股票型基金,CAC@FP.WS~TFELX001,歐元,股票型,2019/09/05,RR4,年配,2026/08/04,87.39,10.12,7.32,13.48,18.3,,27.95,-0.15,1.09,-,"4,466百萬",,
非美國全球政府公債精選,BWX~TBUSS003,美元,債券型,2007/10/02,RR2,月配,2026/08/04,6.6822,-1.45,-3.98,-5.94,-6.35,,4.16,-0.43,0.79,-,"1,302百萬",,
非美國全球政府公債精選( 3 ),BWX~TCUSS003,美元,債券型,2007/10/02,RR2,月配,2026/08/04,6.6709,-1.5,-4.07,-6.12,-6.92,,4.16,-0.43,0.79,-,"1,302百萬",,
SPDR 彭博巴克萊全球國庫券指數股票型基金,BWX~TFUSS003,美元,債券型,2007/10/02,RR2,月配,2026/08/04,21.88,-1.13,-3.36,-4.7,-2.63,,4.16,-0.43,0.79,-,"1,302百萬",,
全球區塊鏈精選,BKCH~TBUGM091,美元,資訊科技股,2021/07/12,RR5,半年配,2026/08/04,10.593,-12.54,6.76,-,-,,80.2,0.16,1.87,-,206百萬,,
全球區塊鏈精選(3),BKCH~TCUGM091,美元,資訊科技股,2021/07/12,RR5,半年配,2026/08/04,10.5805,-12.58,6.66,-,-,,80.2,0.16,1.87,-,206百萬,,
Global X區塊鏈指數股票型基金,BKCH~TFUGM091,美元,資訊科技股,2021/07/12,RR5,半年配,2026/08/04,68.19,-12.25,7.45,-,-,,80.2,0.16,1.87,-,206百萬,,
成長配置產業精選(3),AOR~TCUBC082,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,11.9313,3.21,4.68,11.52,-,,6.5,0.51,0.59,-,"3,642百萬",,
iShares核心成長配置指數股票型基金,AOR~TFUBC082,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,69.89,3.6,5.46,13.2,-,,6.5,0.51,0.59,-,"3,642百萬",,
穩健配置產業精選(3),AOM~TCUBC083,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,11.2164,1.85,2.25,6.69,-,,4.85,0.44,0.4,-,"1,745百萬",,
iShares核心穩健配置指數股票型基金,AOM~TFUBC083,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,49.84,2.24,3.02,8.3,-,,4.85,0.44,0.4,-,"1,745百萬",,
積極配置產業精選(3),AOA~TCUBC081,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,12.6618,4.64,7.06,16.46,-,,8.65,0.52,0.75,-,"3,189百萬",,
iShares核心積極配置指數股票型基金,AOA~TFUBC081,美元,平衡型,2008/11/04,RR4,季配,2026/08/04,99,5.04,7.85,18.22,-,,8.65,0.52,0.75,-,"3,189百萬",,
全球中大型產業精選(3),ACWI~TCUBC077,美元,股票型,2008/03/26,RR4,半年配,2026/08/04,14.757,6.19,9.97,21.57,-,,10.87,0.52,0.94,-,"32,488百萬",,
iShares MSCI全世界指數股票型基金,ACWI~TFUBC077,美元,股票型,2008/03/26,RR4,半年配,2026/08/04,160.63,6.59,10.79,23.4,-,,10.87,0.52,0.94,-,"32,488百萬",,
亞洲股市精選,AAXJ~TBUBC050,美元,股票型,2008/08/13,RR5,半年配,2026/08/04,18.0713,3.11,14.02,34.51,61.1,,20.24,0.44,0.55,-,"3,716百萬",,
亞洲股市精選( 3 ),AAXJ~TCUBC050,美元,股票型,2008/08/13,RR5,半年配,2026/08/04,16.0052,3.05,13.9,34.24,60.14,,20.24,0.44,0.55,-,"3,716百萬",,
iShares MSCI 亞洲不含日本指數股票型基金,AAXJ~TFUBC050,美元,股票型,2008/08/13,RR5,半年配,2026/08/04,114.19,3.44,14.75,36.26,67.51,,20.24,0.44,0.55,-,"3,716百萬",,
華夏滬深300指數精選( 3 ),83188.HK~TCRCA001,人民幣,股票型,2012/07/17,RR5,年配,2026/08/04,16.0717,-5.57,-2.9,11.65,9.18,,14.67,0.2,0.99,-,"14,919百萬",,
華夏滬深300指數ETF,83188.HK~TFRCA001,人民幣,股票型,2012/07/17,RR5,年配,2026/08/04,47.6,-5.22,-2.18,13.33,14.2,,14.67,0.2,0.99,-,"14,919百萬",,
嘉實中國A股指數精選( 3 ),83118.HK~TCRHG001,人民幣,股票型,2012/10/12,RR5,年配,2026/08/04,15.9693,-4.01,-3.2,9.91,7.39,,12.14,0.2,0.79,-,38百萬,,
嘉實MSCI中國A股指數ETF,83118.HK~TFRHG001,人民幣,股票型,2012/10/12,RR5,年配,2026/08/04,16.11,-3.65,-2.48,11.57,12.34,,12.14,0.2,0.79,-,38百萬,,
南方中國A50指數精選( 3 ),82822.HK~TCRCS001,人民幣,股票型,2012/08/28,RR5,年配,2026/08/04,13.8986,-5,-0.52,4.95,3.33,,11.28,0.08,0.63,-,"6,170百萬",,
南方富時中國A50ETF,82822.HK~TFRCS001,人民幣,股票型,2012/08/28,RR5,年配,2026/08/04,13.36,-4.64,0.23,6.54,8.09,,11.28,0.08,0.63,-,"6,170百萬",,
滬深能源產業精選( 3 ),3050.HK~TCHBR003,港幣,股票型,2021/03/10,RR5,年配,2017/02/13,4.431,-0.73,6.5,27.38,-10.2,,24.09,0.19,1.07,-,38百萬,,
iShares安碩滬深A股能源指數股票型基金,3050.HK~TFHBR003,港幣,股票型,2021/03/10,RR5,年配,2017/02/13,5.7302,-0.34,7.31,29.35,-6.06,,24.09,0.19,1.07,-,38百萬,,
滬深原材料產業精選( 3 ),3039.HK~TCHBR002,港幣,股票型,2022/10/10,RR5,年配,2017/02/13,8.0276,18.17,32.25,52.37,54.74,,17.75,0.04,0.97,-,656百萬,,
iShares安碩滬深A股原材料指數股票型基金,3039.HK~TFHBR002,港幣,股票型,2022/10/10,RR5,年配,2017/02/13,11.2335,18.62,33.26,54.73,61.87,,17.75,0.04,0.97,-,656百萬,,
亞洲中型股精選( 3 ),3032.HK~TCHBR005,港幣,資訊科技股,2020/09/02,RR5,年配,2015/12/04,9.1252,9.83,-10.83,-5.92,-8.47,,29.26,-0.11,-0.03,-,"6,765百萬",,
iShares安碩MSCI亞洲APEX中型股指數股票型基金,3032.HK~TFHBR005,港幣,資訊科技股,2020/09/02,RR5,年配,2015/12/04,37.1497,10.24,-10.16,-4.5,-4.25,,29.26,-0.11,-0.03,-,"6,765百萬",,
亞洲大型股精選( 3 ),3010.HK~TCHBR004,港幣,股票型,2009/03/12,RR5,年配,2015/09/04,10.4366,-21.38,-17.11,-21.26,-1.76,,19.23,0.44,1.44,-,"6,022百萬",,
iShares 安碩MSCI 亞洲APEX 50指數股票型基金,3010.HK~TFHBR004,港幣,股票型,2009/03/12,RR5,年配,2015/09/04,37.25,-21.08,-16.48,-20.06,2.76,,19.23,0.44,1.44,-,"6,022百萬",,
滬深金融產業精選( 3 ),2829.HK~TCHBN001,港幣,債券型,2021/10/18,RR5,半年配,2017/03/28,10.4998,16.44,20.83,20.34,48.36,,2.62,0.23,-0.05,-,"3,416百萬",,
iShares安碩滬深A股金融指數股票型基金,2829.HK~TFHBN001,港幣,債券型,2021/10/18,RR5,半年配,2017/03/28,13.4397,16.87,21.74,22.18,55.19,,2.62,0.23,-0.05,-,"3,416百萬",,
滬深300指數精選( 3 ),2827.HK~TCHBP001,港幣,股票型,2007/07/17,RR5,年配,2026/08/04,12.1268,-2.56,1.98,19.86,22.16,,13.81,0.37,0.95,-,868百萬,,
標智滬深300指數股票型基金,2827.HK~TFHBP001,港幣,股票型,2007/07/17,RR5,年配,2026/08/04,47.28,-2.19,2.74,21.67,27.78,,13.81,0.37,0.95,-,868百萬,,
A50中國指數精選( 3 ),2823.HK~TCHBR001,港幣,股票型,2004/11/15,RR5,年配,2026/08/04,11.1469,-3.93,2.69,12.47,13.96,,12.13,0.24,0.68,-,"12,902百萬",,
iShares 安碩新華富時A50中國指數股票型基金,2823.HK~TFHBR001,港幣,股票型,2004/11/15,RR5,年配,2026/08/04,16.76,-3.57,3.46,14.17,19.2,,12.13,0.24,0.68,-,"12,902百萬",,
日經股市精選( 3 ),1321.JP~TCJNM001,日圓,股票型,2001/07/09,RR4,年配,2026/08/04,55.723,6.2,16.25,56.7,90.88,,18.84,0.8,1,-,18836600百萬,,
Nomura 日本日經225指數股票型基金,1321.JP~TFJNM001,日圓,股票型,2001/07/09,RR4,年配,2026/08/04,66090,6.61,17.12,59.06,99.67,,18.84,0.8,1,-,18836600百萬,,
日本東證股市精選( 3 ),1306.JP~TCJNM002,日圓,股票型,2001/07/11,RR4,年配,2026/08/04,36.3183,4.23,6.66,34.17,67.55,,7.76,1.26,0.93,-,34184140百萬,,
Nomura 日本東證一部指數股票型基金,1306.JP~TFJNM002,日圓,股票型,2001/07/11,RR4,年配,2026/08/04,412.4,4.64,-89.25,-86.38,-82.47,,7.76,1.26,0.93,-,34184140百萬,,
安聯台灣產業精選(3)(本基金之配息來源可能為收益平準金),00993A.TW~TCTAL105,台幣,股票型,2026/01/20,RR4,年配,2026/08/04,9.4316,-,-,-,-,,-,-,-,-,"9,911百萬",,
安聯台灣主動式交易所交易基金(本基金之配息來源可能為收益平準金),00993A.TW~TFTAL105,台幣,股票型,2026/01/20,RR4,年配,2026/08/04,12.46,-,-,-,-,,-,-,-,-,"9,911百萬",,
復華台灣產業精選(3) (本基金之配息來源可能為收益平準金),00991A.TW~TCTFT108,台幣,股票型,2025/12/09,RR4,半年配,2026/08/04,8.5293,-,-,-,-,,-,-,-,-,"86,053百萬",,
復華台灣未來50主動式交易所交易基金 (本基金之配息來源可能為收益平準金),00991A.TW~TFTFT108,台幣,股票型,2025/12/09,RR4,半年配,2026/08/04,16.33,-,-,-,-,,-,-,-,-,"86,053百萬",,
元大全球AI產業精選(3),00990A.TW~TCTYU109,台幣,股票型,2025/12/02,RR4,無,2026/08/04,8.5227,-,-,-,-,,-,-,-,-,"39,810百萬",,
元大全球AI新經濟主動式交易所交易基金,00990A.TW~TFTYU109,台幣,股票型,2025/12/02,RR4,無,2026/08/04,15.49,-,-,-,-,,-,-,-,-,"39,810百萬",,
安聯台灣高息成長精選(3)(本基金之配息來源可能為收益平準金且基金並無保證收益及配息),00984A.TW~TCTAL098,台幣,股票型,2025/07/03,RR4,季配,2026/08/04,8.8577,-,-,-,-,,25.04,0.55,0.76,-,"9,702百萬",,
安聯台灣高息成長主動式交易所交易基金(本基金之配息來源可能為收益平準金且基金並無保證收益及配息),00984A.TW~TFTAL098,台幣,股票型,2025/07/03,RR4,季配,2026/08/04,14.45,-,-,-,-,,25.04,0.55,0.76,-,"9,702百萬",,
群益台灣產業精選(3)(本基金之配息來源可能為收益平準金),00982A.TW~TCTCP107,台幣,股票型,2025/05/13,RR4,季配,2026/08/04,9.1222,-,-,-,-,,39.9,0.57,1.4,-,"50,628百萬",,
群益台灣精選強棒主動式交易所交易基金(本基金之配息來源可能為收益平準金),00982A.TW~TFTCP107,台幣,股票型,2025/05/13,RR4,季配,2026/08/04,21.61,-,-,-,-,,39.9,0.57,1.4,-,"50,628百萬",,
統一台股增長精選(3)(本基金之配息來源可能為收益平準金),00981A.TW~TCTUP106,台幣,股票型,2025/05/15,RR4,季配,2026/08/04,9.3796,-,-,-,-,,45.26,0.63,1.49,-,307023百萬,,
統一台股增長主動式交易所交易基金(本基金之配息來源可能為收益平準金),00981A.TW~TFTUP106,台幣,股票型,2025/05/15,RR4,季配,2026/08/04,27.58,-,-,-,-,,45.26,0.63,1.49,-,307023百萬,,
